Country Code;City;Location;Coordinates;Pollutant;Source Name;Unit;Value;Last Updated;Country Label
IN;Delhi;IGI Airport (T3), Delhi - IMD;28.5627763, 77.1180053;O3;caaqm;µg/m³;7.32;2022-10-16T21:30:00+05:30;India
IN;Delhi;Burari Crossing, Delhi - IMD;28.7256504, 77.2011573;NO2;caaqm;µg/m³;0.0;2022-08-03T16:30:00+05:30;India
IN;Delhi;Narela, Delhi - DPCC;;PM2.5;data.gov.in;µg/m³;196.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;Jahangirpuri, Delhi - DPCC;;NO2;data.gov.in;µg/m³;67.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;Rohini, Delhi - DPCC;;SO2;data.gov.in;µg/m³;13.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;Alipur, Delhi - DPCC;;PM2.5;data.gov.in;µg/m³;243.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;Sirifort, Delhi - CPCB;;CO;data.gov.in;µg/m³;141000.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;Jawaharlal Nehru Stadium, Delhi - DPCC;28.5828503, 77.2321778;PM10;caaqm;µg/m³;378.0;2018-05-12T12:00:00+05:30;India
IN;Delhi;Jawaharlal Nehru Stadium, Delhi - DPCC;28.5828503, 77.2321778;CO;caaqm;µg/m³;900.0;2018-05-10T15:00:00+05:30;India
IN;Delhi;R K Puram, New Delhi - DPCC;28.5646102, 77.1670103;PM2.5;caaqm;µg/m³;213.0;2018-05-12T10:15:00+05:30;India
IN;Delhi;R K Puram, New Delhi - DPCC;28.5646102, 77.1670103;SO2;caaqm;µg/m³;18.4;2018-05-07T01:00:00+05:30;India
IN;Delhi;Dr. Karni Singh Shooting Range, Delhi - DPCC;28.4997315, 77.2649067;SO2;caaqm;µg/m³;29.0;2018-05-09T16:30:00+05:30;India
IN;Delhi;Delhi Technological University, Delhi - CPCB;28.744, 77.12;NO2;CPCB;µg/m³;40.3;2018-02-22T09:30:00+05:30;India
IN;Delhi;IHBAS, Delhi - CPCB;28.6821, 77.305;PM2.5;CPCB;µg/m³;11.9;2018-02-22T08:15:00+05:30;India
IN;Delhi;Anand Vihar, Delhi - DPCC;28.6508, 77.3152;PM10;CPCB;µg/m³;670.0;2018-02-22T02:45:00+05:30;India
IN;Delhi;IGI Airport;28.56, 77.094;CO;CPCB;µg/m³;910.0;2015-07-10T12:00:00+05:30;India
IN;Delhi;CRRI Mathura Road, Delhi - IMD;28.5512005, 77.2735737;NO2;caaqm;µg/m³;3.52;2022-10-31T06:45:00+05:30;India
IN;Delhi;Wazirpur, Delhi - DPCC;28.699793, 77.165453;PM10;caaqm;µg/m³;337.0;2022-10-31T06:15:00+05:30;India
IN;Delhi;Vivek Vihar, Delhi - DPCC;;SO2;data.gov.in;µg/m³;12.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;Jahangirpuri, Delhi - DPCC;;PM2.5;data.gov.in;µg/m³;248.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;Jahangirpuri, Delhi - DPCC;;SO2;data.gov.in;µg/m³;26.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;Major Dhyan Chand National Stadium, Delhi - DPCC;;O3;data.gov.in;µg/m³;2.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;Alipur, Delhi - DPCC;;PM10;data.gov.in;µg/m³;265.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;Alipur, Delhi - DPCC;;CO;data.gov.in;µg/m³;52000.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;IGI Airport (T3), Delhi - IMD;;O3;data.gov.in;µg/m³;8.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;Mandir Marg, Delhi - DPCC;;SO2;data.gov.in;µg/m³;25.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;Sri Aurobindo Marg, Delhi - DPCC;;O3;data.gov.in;µg/m³;1.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;Anand Vihar, Delhi - DPCC;28.646835, 77.316032;PM2.5;caaqm;µg/m³;50.0;2021-09-20T11:15:00+05:30;India
IN;Delhi;Jahangirpuri, Delhi - DPCC;28.7258373, 77.1605631;O3;caaqm;µg/m³;64.2;2018-05-12T10:00:00+05:30;India
IN;Delhi;Dwarka-Sector 8, Delhi - DPCC;28.5206826, 76.8023871;PM2.5;caaqm;µg/m³;67.0;2018-05-11T18:00:00+05:30;India
IN;Delhi;Dr. Karni Singh Shooting Range, Delhi - DPCC;28.4997315, 77.2649067;O3;caaqm;µg/m³;3.0;2018-05-09T16:30:00+05:30;India
IN;Delhi;Mandir Marg, New Delhi - DPCC;28.6372688, 77.2005604;SO2;caaqm;µg/m³;18.0;2018-05-10T13:00:00+05:30;India
IN;Delhi;Major Dhyan Chand National Stadium, Delhi - DPCC;28.6125027, 77.2351994;PM2.5;caaqm;µg/m³;62.0;2018-05-10T15:00:00+05:30;India
IN;Delhi;Anand Vihar, Delhi - DPCC;28.6508, 77.3152;PM2.5;CPCB;µg/m³;271.0;2018-02-22T02:45:00+05:30;India
